| Run on Mon Aug 18 19:26:30 2025
|
|Input file:
|--------------------------------------------------------------
|&general
|   startframe=1,
|   endframe=500,
|   interval=25,
|   verbose=1,
|   keep_files=2,
|/
|&gb
|   igb=2,
|   saltcon=0.150,
|/
|&pb
|   istrng=0.150,
|/
|&decomp
|   idecomp=3,
|   dec_verbose=2,
|   print_res="1-150; 151-221",
|/
|
|--------------------------------------------------------------
|MMPBSA.py Version=14.0
|Solvated complex topology file:  complex-solvated.prmtop
|Complex topology file:           frame.prmtop
|Receptor topology file:          frame-ntd.prmtop
|Ligand topology file:            frame-ctd.prmtop
|Initial mdcrd(s):                prod1.nc
|
|Receptor mask:                  ":1-150"
|Ligand mask:                    ":151-221"
|
|Calculations performed using 20.96 complex frames.
|Poisson Boltzmann calculations performed using internal PBSA solver in sander.
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|All units are reported in kcal/mole.
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

WARNING: INCONSISTENCIES EXIST WITHIN INTERNAL POTENTIAL
TERMS. THE VALIDITY OF THESE RESULTS ARE HIGHLY QUESTIONABLE
Complex:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                       665.1089               13.9440              3.1180
ANGLE                     1824.7107               32.2576              7.2130
DIHED                     2915.0137               19.1389              4.2796
VDWAALS                  -1622.5810               21.0084              4.6976
EEL                     -15225.2245               69.6386             15.5717
1-4 VDW                    781.7506                8.6656              1.9377
1-4 EEL                   8602.7158               28.5369              6.3810
EGB                      -2716.0298               67.7068             15.1397
ESURF                      102.5741                1.8949              0.4237

G gas                    -2058.5058               84.5316             18.9019
G solv                   -2613.4556               66.3706             14.8409

TOTAL                    -4671.9614               37.1864              8.3151


Receptor:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                       451.9705               15.0147              3.3574
ANGLE                     1259.7837               23.4768              5.2496
DIHED                     1989.8287               16.2805              3.6404
VDWAALS                  -1075.0167               14.1286              3.1593
EEL                     -10241.8953               55.1298             12.3274
1-4 VDW                    522.0549                7.6548              1.7117
1-4 EEL                   5972.7247               19.5064              4.3618
EGB                      -1644.5105               47.0551             10.5218
ESURF                       72.2475                1.3599              0.3041

G gas                    -1120.5494               55.4369             12.3961
G solv                   -1572.2630               46.4599             10.3888

TOTAL                    -2692.8125               29.3449              6.5617


Ligand:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                       212.9417                7.6259              1.7052
ANGLE                      563.9934               22.2192              4.9684
DIHED                      918.7949               11.8602              2.6520
VDWAALS                   -488.6601                9.1530              2.0467
EEL                      -4792.3339               58.3041             13.0372
1-4 VDW                    257.8490                4.1799              0.9347
1-4 EEL                   2601.7711               17.1151              3.8271
EGB                      -1240.2434               57.2620             12.8042
ESURF                       38.7773                0.9947              0.2224

G gas                     -725.6439               66.7240             14.9199
G solv                   -1201.4661               56.5586             12.6469

TOTAL                    -1927.1100               22.0067              4.9208


Differences (Complex - Receptor - Ligand):
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                         0.1967                0.2187              0.0489
ANGLE                        0.9336                0.5637              0.1260
DIHED                        6.3902                0.6544              0.1463
VDWAALS                    -58.9042                4.5584              1.0193
EEL                       -190.9954               21.4884              4.8050
1-4 VDW                      1.8466                0.4915              0.1099
1-4 EEL                     28.2200                1.0116              0.2262
EGB                        168.7242               17.4584              3.9038
ESURF                       -8.4507                0.4817              0.1077

DELTA G gas               -212.3124               21.1012              4.7184
DELTA G solv               160.2735               17.3926              3.8891

DELTA TOTAL                -52.0389                6.1038              1.3649


-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

WARNING: INCONSISTENCIES EXIST WITHIN INTERNAL POTENTIAL
TERMS. THE VALIDITY OF THESE RESULTS ARE HIGHLY QUESTIONABLE
Complex:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                       665.1089               13.9440              3.1180
ANGLE                     1824.7107               32.2576              7.2130
DIHED                     2915.0137               19.1389              4.2796
VDWAALS                  -1622.5810               21.0084              4.6976
EEL                     -15225.2245               69.6386             15.5717
1-4 VDW                    781.7506                8.6656              1.9377
1-4 EEL                   8602.7158               28.5369              6.3810
EPB                        -92.3312               16.8997              3.7789
ENPOLAR                   1821.0263                9.3794              2.0973
EDISPER                  -1164.6176               12.8736              2.8786

G gas                    -2058.5058               84.5316             18.9019
G solv                     564.0774               20.6117              4.6089

TOTAL                    -1494.4283               78.1851             17.4827


Receptor:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                       451.9705               15.0147              3.3574
ANGLE                     1259.7837               23.4768              5.2496
DIHED                     1989.8287               16.2805              3.6404
VDWAALS                  -1075.0167               14.1286              3.1593
EEL                     -10241.8953               55.1298             12.3274
1-4 VDW                    522.0549                7.6548              1.7117
1-4 EEL                   5972.7247               19.5064              4.3618
EPB                         -7.9532                0.4632              0.1036
ENPOLAR                   1240.2071                6.2815              1.4046
EDISPER                   -806.5942                7.3970              1.6540

G gas                    -1120.5494               55.4369             12.3961
G solv                     425.6597                5.2135              1.1658

TOTAL                     -694.8898               54.2149             12.1228


Ligand:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                       212.9417                7.6259              1.7052
ANGLE                      563.9934               22.2192              4.9684
DIHED                      918.7949               11.8602              2.6520
VDWAALS                   -488.6601                9.1530              2.0467
EEL                      -4792.3339               58.3041             13.0372
1-4 VDW                    257.8490                4.1799              0.9347
1-4 EEL                   2601.7711               17.1151              3.8271
EPB                        -84.7730               17.4158              3.8943
ENPOLAR                    625.2410                5.8298              1.3036
EDISPER                   -433.0872                9.2997              2.0795

G gas                     -725.6439               66.7240             14.9199
G solv                     107.3808               20.4242              4.5670

TOTAL                     -618.2631               56.8630             12.7150


Differences (Complex - Receptor - Ligand):
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                         0.1967                0.2187              0.0489
ANGLE                        0.9336                0.5637              0.1260
DIHED                        6.3902                0.6544              0.1463
VDWAALS                    -58.9042                4.5584              1.0193
EEL                       -190.9954               21.4884              4.8050
1-4 VDW                      1.8466                0.4915              0.1099
1-4 EEL                     28.2200                1.0116              0.2262
EPB                          0.3950                1.2217              0.2732
ENPOLAR                    -44.4218                2.0193              0.4515
EDISPER                     75.0638                2.6591              0.5946

DELTA G gas               -212.3124               21.1012              4.7184
DELTA G solv                31.0370                2.3637              0.5285

DELTA TOTAL               -181.2754               21.0553              4.7081


-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
